name,MMSI,IMO,country
DUTA PERTIWI III,0,8734475,Indonesia
JUMBO 2,207292000,8315671,Bulgaria
PESETA,0,9044889,Panama
TROPIC BREEZE,0,8906315,Belize
SS MARINER,0,8127141,Thailand
GOLDEN BRAVO,563003930,9088029,Singapore
KAPETAN MRS,0,8846448,Croatia
DENIZYILDIZI,0,9097458,Turkey
CULEX,0,4902957,Unknown
KOUWAMARU,431002774,9614256,Japan
KYOWA MARU,0,9163312,Unknown
NEW STREAM,431004149,9675339,Japan
SACRO CUOR I,0,7438115,Malta
SWINDERBY,0,7340186,United Kingdom (UK)
PANMAS 1,0,7821453,Unknown
DUANGTALAY8,533000092,9744817,Malaysia
BAWA 1,248138000,7228467,Malta
ANATIFE,227681520,9381926,France
KOKI MARU NO.30,431000173,9428475,Japan
RAOUL F,247377500,8841424,Italy
GAMLE OKSOEY,257226500,7333339,Norway
CHARISMA,0,5124265,Unknown
HIBARU,0,8132275,Maldives
AALTO,230212000,5422203,Finland
OTO ANGEL,0,8514033,Unknown
SINEE,0,8718603,Thailand
AMILLA I,237943800,8739011,Greece
BERKAH SELATAN,0,8605040,Indonesia
SEA BLESS,0,8915108,Unknown
PISCES,0,8604242,Unknown
THANAROD,0,8865468,Thailand
ORS,0,8624888,Russia
AKVATRANS,0,6522945,Norway
STEINAR HALTBAKK,259279000,5012606,Norway
DAGMAR,211305290,8835748,Germany
HON YUN,416001858,9105449,Taiwan
AYER MOLEK,563001280,8955392,Singapore
AYER MANIS,563001270,8898879,Singapore
OMEGA,277293000,8419910,Lithuania
TANSEL M,0,8992728,Turkey
FARNDALE H,232006203,8635332,United Kingdom (UK)
HUMBER DAWN,0,6721931,United Kingdom (UK)
IMPERIAL,0,5159480,Germany
SD WATERMAN,0,7703053,Unknown
SIMA,0,3536220,Turkey
AG NIKOLAOS,237829800,8739449,Greece
RMS WATERCOURSE,235093292,7340796,United Kingdom (UK)
ARMADOR II,232012297,8790259,United Kingdom (UK)
DORDUNCU,0,6905587,Turkey
TUAH SEJAGAT,467005341,8619132,-
SOVEREIGN M,0,7946992,Unknown
HALTBAKK BUNKERSERV.,257121400,7017351,Norway
FLOURSH,0,6900290,Unknown
MARINE PROTECTOR,563846000,8814110,Singapore
JOE 1,0,9140994,Lebanon
JOHN CHARLTON,0,5352343,Sweden
BYRON,237091900,5417753,Greece
POSEIDON,239869900,9555022,Greece
FONIKS SUPPORTER,219022047,8661020,Denmark
PORTOVIK 5,0,8730259,Russia
BANAK,0,8945880,Philippines
TRITONAS,241135000,5352381,Greece
LALA KHEDIDJA,0,9393838,Algeria
PIRAEUS III,0,8834263,Greece
CSM,563025420,9692923,Singapore
CALISTA,563025410,9692911,Singapore
BONITA,563025390,9692909,Singapore
ZAPRAVSHCHIK 07,273446990,8331704,Russia
DON,0,8857526,Ukraine
ZAPRAVSHCHIK 12,0,8826436,Russia
MASLOVOZ 2,273453430,8846307,Russia
CENDERASA JAYA,0,7735214,Unknown
MUTLU 3,0,8984824,Turkey
KENKO MARU NO. 8,0,8879550,Japan
KANNON MARU NO. 8,0,9062350,Japan
YUKMAR 1,0,8987618,Turkey
ALEXIA,0,8425438,Philippines
MOTAF 1,677013700,8936372,Tanzania
LORENZA,247433600,9081564,Italy
KOLIN 3,0,8139297,Turkey
TEBRA,0,8847832,Unknown
LANGUST,0,8832588,Russia
ZAPRAVSHCHIK 02,0,8930720,Russia
KATHI,211372620,7006974,Germany
CNC 5,563033720,9748318,Singapore
CUROIL II,0,9223306,Curacao
TANKSKAR,265550210,8327105,Sweden
MEX DE OCEAN 9,525300666,9745914,Indonesia
CONVEYOR,0,7820435,Unknown
CARL W,211178650,6412463,Germany
URGOZO,0,8411750,Spain
DAVID W.,0,5087106,Unknown
ROLF WILLIAMS,367065790,8998019,United States (USA)
EISA,0,8630227,Russia
DENLI 1,0,8987620,Turkey
BARUTAMA 01,0,8797764,Indonesia
TRAVETANK,211262590,5126512,Germany
TAURUS,211286380,6620149,Germany
CALAIS,0,8857368,France
ANITA,211516970,6605694,Germany
BOCAC,0,6405771,Croatia
SENIO,0,8959099,Italy
HYDROVAC 5,0,8897887,Netherlands
ATLANTIC TANK,0,6608012,Norway
STATHAV22,219010252,9096399,Denmark
CSM 2,0,9753040,Singapore
LOUIS C,367760520,8988533,United States (USA)
SEEVE,0,6606155,Spain
SEIEI MARU NO. 7,0,9085027,Japan
TOVAK,0,8871637,Norway
GRIPTANK,0,8331405,Norway
HANNEKE,0,9567271,Netherlands
TERZO,0,9485942,Netherlands
