lon,lat,speed,timestamp,course,mmsi,source_port,dest_port
103.71810,1.22687,-1,2022-09-25 00:20,---,564778000,singapore,singapore
56.96580,25.67366,0.1 Knots,2022-09-25 00:54,---,613003802,oman,KFK
12.26144,44.47816,-1,2022-09-14 08:41,---,247240200,italy,italy
103.87253,1.45656,1.4 Knots,2022-06-25 06:02,---,533363000,malaysia,Unknown
56.37102,25.35363,-1,2022-09-25 00:55,---,312492000,uae,uae
8.71034,53.86313,0.1 Knots,2022-09-25 00:53,4,211228200,germany,germany
-0.67673,35.72474,4.2 Knots,2022-09-11 21:57,148,605076458,algeria,algeria
3.08909,36.77969,4.4 Knots,2021-09-12 10:56,230,605076461,algeria,ALGIERS
5.10753,60.26784,-1,2022-09-25 00:55,154,257304000,norway,SKOGSVAAG
103.97035,1.29859,-1,2022-09-25 00:53,357,566799000,singapore,singapore
103.75190,1.29531,0.1 Knots,2022-09-06 05:38,---,566691000,singapore,singapore
103.94856,1.29534,0.1 Knots,2022-09-25 00:54,---,566701000,singapore,singapore
103.96002,1.30367,0.1 Knots,2022-09-25 00:09,219,566867000,singapore,SINGAPORE
103.94437,1.29758,-1,2022-09-25 00:55,342,566975000,singapore,AEPB
103.88885,1.27198,5.5 Knots,2022-09-25 00:55,47.6,565459000,singapore,singapore
23.61499,37.94490,-1,2022-09-24 18:09,---,239864200,greece,greece
103.97985,1.22686,3.9 Knots,2022-08-22 06:31,76.9,533110083,malaysia,TANJUNG PENGELH
28.95662,40.99332,-1,2022-09-03 14:13,18,271000903,turkey,YENIKAPI/ISTANBUL
18.12072,59.34147,-1,2022-09-25 00:54,243,265704520,sweden,sweden
28.90655,40.97427,6.5 Knots,2022-09-23 15:11,204.5,271002360,turkey,Unknown
11.82329,57.68176,8.9 Knots,2022-09-25 00:55,258,265724260,sweden,sweden
13.58625,41.21728,-1,2022-09-24 16:32,---,247222900,italy,italy
103.56834,1.20883,6.1 Knots,2022-09-24 01:25,292.9,533054600,malaysia,malaysia
12.24204,45.47304,1 Knots,2022-09-24 15:42,---,247179200,italy,italy
17.19948,40.47661,-1,2022-09-25 00:55,---,247077500,italy,italy
103.94984,1.29692,0.1 Knots,2022-09-25 00:54,328,566072000,singapore,SINGAPORE
-17.42835,14.69105,-1,2022-09-25 00:45,311,671373100,Unknown,senegal
119.41347,-5.10454,1.6 Knots,2021-11-09 10:28,---,525201412,indonesia,indonesia
13.57069,41.22419,-1,2022-09-24 13:29,---,247223500,italy,italy
131.88857,43.08577,-1,2022-09-25 00:55,59,273444350,russia,russia
116.91797,-1.41322,0.9 Knots,2022-09-21 17:00,---,525005361,indonesia,BALIKPAPAN
103.93604,1.27489,7.5 Knots,2022-07-01 18:46,156.4,564434000,singapore,AEPB
30.21969,59.90023,3.7 Knots,2022-04-28 05:43,213.9,273445880,russia,russia
104.01517,1.24593,4.6 Knots,2022-08-12 01:03,101.4,373519000,korea,ANCHOR
-24.99232,16.88303,0.3 Knots,2021-12-06 20:22,---,617079080,Unknown,P GRANDE
103.79173,1.20701,-1,2022-09-24 04:08,---,564478000,singapore,AEPB
103.79789,1.23359,0.1 Knots,2022-09-25 00:55,---,563003350,singapore,BEDOK
128.29087,0.27238,6.8 Knots,2021-11-10 11:53,99,525015907,indonesia,BULI
-17.99967,14.29943,7.5 Knots,2021-01-22 02:05,179.3,511345000,ghana,GHANA  TEMA
139.76735,35.50607,0.1 Knots,2022-09-23 09:36,88,431101165,japan,japan
103.70451,1.22071,3.7 Knots,2022-09-24 07:57,270.9,565257000,singapore,AEPB
12.20518,65.47244,-1,2022-09-25 00:55,39,258090000,norway,norway
12.25933,65.92706,8.6 Knots,2022-09-25 00:55,242.1,257008000,norway,FISHFARMS CH 16
29.85156,31.16828,4.3 Knots,2022-08-25 15:38,62.4,622171157,egypt,egypt
22.98015,37.29917,9.1 Knots,2022-09-24 12:41,277.5,237500000,greece,SPETSES
57.32962,25.05207,7.8 Knots,2022-09-17 09:57,116.7,667001915,uae,HIGH SEA
134.04277,34.54500,11.2 Knots,2022-09-19 22:13,215.2,431005102,japan,JP OKP
120.30173,22.58494,-1,2022-09-25 00:55,---,416005473,taiwan,taiwan
121.76563,25.15463,-1,2022-09-25 00:00,---,416005474,taiwan,taiwan
103.97838,1.29642,0.1 Knots,2022-09-25 00:54,---,564949000,singapore,ASPP
8.55329,53.56410,-1,2022-09-25 00:53,173,211523910,germany,germany
103.96837,1.23228,8.4 Knots,2022-08-09 22:35,70.7,542560110,uae,Unknown
7.73446,63.11968,-1,2022-07-27 09:14,---,257571000,norway,norway
8.80665,63.63785,-1,2022-09-25 00:50,206,258043000,norway,norway
112.67842,-7.16522,8.3 Knots,2022-09-24 18:35,327.1,525005202,indonesia,SBY
121.74333,25.14029,-1,2022-09-25 00:00,---,416005475,taiwan,taiwan
103.96254,1.30061,0.1 Knots,2022-09-25 00:55,---,563158000,singapore,AEPB
14.90173,35.87625,5.9 Knots,2022-09-19 23:05,113.1,249508000,malta,MALTA. VALLETTA
134.58607,34.76475,-1,2022-09-24 23:26,348,431013616,japan,&gt; JP HIM  ABOSHI
5.23519,59.41193,-1,2022-09-25 00:54,223,257114970,norway,FISHFARMS
138.51512,35.02452,5.8 Knots,2022-09-24 21:13,222,431000778,japan,japan
5.21692,60.40369,-1,2022-09-25 00:53,353,257706000,norway,BERGEN HAVN
13.79693,67.03745,8.9 Knots,2022-09-25 00:55,234.3,257266000,norway,norway
134.34238,34.37530,12.3 Knots,2022-09-03 12:42,291.5,431001824,japan,&gt;JP TXD OFF
135.01082,34.12555,11.1 Knots,2022-09-23 12:17,176.4,431402035,japan,japan
114.11631,22.33660,0.1 Knots,2022-09-25 00:55,---,477995358,hong-kong,hong-kong
103.97332,1.27303,-1,2022-09-25 00:53,261,565866000,singapore,AEPA
135.42033,34.58708,0.1 Knots,2022-09-25 00:40,154,431009016,japan,japan
103.70606,1.22409,5.1 Knots,2022-09-25 00:13,241,563067420,singapore,ASPP
103.72162,1.22062,0.4 Knots,2022-09-24 23:56,306,565140000,singapore,ASPP
10.53843,55.47027,-1,2022-09-25 00:52,126,265797830,sweden,denmark
103.69656,1.15799,10.2 Knots,2022-07-15 16:40,308.2,533132352,Unknown,Unknown
23.53470,70.38277,6.4 Knots,2022-09-25 00:54,220,257061880,norway,sweden
103.75269,1.29858,-1,2022-09-24 09:16,---,563067430,singapore,singapore
129.19351,35.13896,11.5 Knots,2022-09-24 06:43,46.5,440005700,korea,Unknown
23.55542,37.96072,-1,2022-03-17 10:04,---,239200000,greece,greece
10.59237,57.71942,-1,2022-09-25 00:54,241,219019067,denmark,denmark
117.06588,-1.30849,8.9 Knots,2022-08-14 12:40,71.4,525003121,indonesia,BANJARMASIN
104.03003,1.53151,-1,2022-07-29 04:14,---,533130738,malaysia,PGUDANG
-21.92702,64.15847,5.4 Knots,2022-02-20 08:56,240,251340000,iceland,iceland
-0.25902,53.74284,-1,2022-09-25 00:55,107,235030851,united-kingdom,united-kingdom
---,---,-1,,---,508111301,brunei,Unknown
103.93135,1.28207,0.1 Knots,2022-09-25 00:55,---,563014650,singapore,PPT25
103.96917,1.29605,0.3 Knots,2022-09-25 00:03,231,563020660,singapore,SINGAPORE
103.75469,1.30045,-1,2022-09-25 00:55,307,563034560,singapore,singapore
57.49730,-20.15606,-1,2017-09-09 17:47,68,645357000,mauritius,Unknown
-5.49259,35.90102,4.8 Knots,2022-09-09 15:25,196,242562300,morocco,MAPTM
103.95854,1.29706,0.1 Knots,2022-09-25 00:55,331,566135000,singapore,singapore
16.21159,41.87621,8.2 Knots,2022-09-23 21:43,176,247223300,italy,MANFREDONIA/IS.TREM
10.92314,56.41190,-1,2022-03-15 07:11,270,214182023,norway,denmark
25.60102,36.92927,0.1 Knots,2022-09-25 00:52,---,237009100,greece,greece
